种质名称,抗旱系数,抗旱指数,用抗旱指数划分的全生育期抗旱性级别,相对发芽势,用相对发芽势划分的抗旱级别,相对发芽率,用相对发芽率划分的抗旱级别,相对根数,用相对根数划分的抗旱级别,相对根长,用相对根长划分的抗旱级别,相对芽鞘,用相对芽鞘划分的抗旱级别,相对芽长,用相对芽长划分的抗旱级别
考海（红香软米旱稻）,,,HR,,HR,,HR,,MR,,HR,,MR,,MR
考海（红香软米旱稻）,,,HR,,HR,,HR,,MR,,HR,,MR,,MR
考海（红香软米旱稻）,,,HR,,HR,,HR,,MR,,HR,,MR,,MR
考海（红香软米旱稻）,,,HR,,HR,,HR,,MR,,HR,,MR,,MR
考海（红香软米旱稻）,,,HR,,HR,,HR,,MR,,HR,,MR,,MR
考海（红香软米旱稻）,,,HR,,HR,,HR,,MR,,HR,,MR,,MR
考海（红香软米旱稻）,,,HR,,HR,,HR,,MR,,HR,,MR,,MR
考海（红香软米旱稻）,,,HR,,HR,,HR,,MR,,HR,,MR,,MR
考海（红香软米旱稻）,,,HR,,HR,,HR,,MR,,HR,,MR,,MR
考海（红香软米旱稻）,,,HR,,HR,,HR,,MR,,HR,,MR,,MR
考海（红香软米旱稻）,,,HR,,HR,,HR,,MR,,HR,,MR,,MR
考海（红香软米旱稻）,,,HR,,HR,,HR,,MR,,HR,,MR,,MR
考海（红香软米旱稻）,,,HR,,HR,,HR,,MR,,HR,,MR,,MR
考海（红香软米旱稻）,,,HR,,HR,,HR,,MR,,HR,,MR,,MR
考海（红香软米旱稻）,,,HR,,HR,,HR,,MR,,HR,,MR,,MR
考海（红香软米旱稻）,,,HR,,HR,,HR,,MR,,HR,,MR,,MR
考海（红香软米旱稻）,,,HR,,HR,,HR,,MR,,HR,,MR,,MR
考海（红香软米旱稻）,,,HR,,HR,,HR,,MR,,HR,,MR,,MR
考海（红香软米旱稻）,,,HR,,HR,,HR,,MR,,HR,,MR,,MR
考海（红香软米旱稻）,,,HR,,HR,,HR,,MR,,HR,,MR,,MR
考海（红香软米旱稻）,,,HR,,HR,,HR,,MR,,HR,,MR,,MR
考海（红香软米旱稻）,,,HR,,HR,,HR,,MR,,HR,,MR,,MR
考海（红香软米旱稻）,,,HR,,HR,,HR,,MR,,HR,,MR,,MR
考海（红香软米旱稻）,,,HR,,HR,,HR,,MR,,HR,,MR,,MR
考海（红香软米旱稻）,,,HR,,HR,,HR,,MR,,HR,,MR,,MR
考海（红香软米旱稻）,,,HR,,HR,,HR,,MR,,HR,,MR,,MR
考早,,,R,,R,,R,,,,R,,,,
考辽,,,S,,S,,S,,,,S,,,,
考鸟,,,RS,,RS,,RS,,,,RS,,,,
考早,,,R,,R,,R,,,,R,,,,
考早,,,R,,R,,R,,,,R,,,,
考早,,,R,,R,,R,,,,R,,,,
考辽,,,S,,S,,S,,,,S,,,,
考早,,,R,,R,,R,,,,R,,,,
考早,,,R,,R,,R,,,,R,,,,
考早,,,R,,R,,R,,,,R,,,,
考早,,,R,,R,,R,,,,R,,,,
考早,,,R,,R,,R,,,,R,,,,
考老板,,,R,,R,,R,,,,R,,,,
考老板,,,R,,R,,R,,,,R,,,,
考老板,,,R,,R,,R,,,,R,,,,
考早,,,R,,R,,R,,,,R,,,,
考早,,,R,,R,,R,,,,R,,,,
考老板,,,R,,R,,R,,,,R,,,,
考早,,,R,,R,,R,,,,R,,,,
考早,,,R,,R,,R,,,,R,,,,
考早,,,R,,R,,R,,,,R,,,,
考早,,,R,,R,,R,,,,R,,,,
考早,,,R,,R,,R,,,,R,,,,
考早,,,R,,R,,R,,,,R,,,,
考早,,,R,,R,,R,,,,R,,,,
考早,,,R,,R,,R,,,,R,,,,
考早,,,R,,R,,R,,,,R,,,,
考早,,,R,,R,,R,,,,R,,,,
考早,,,R,,R,,R,,,,R,,,,
考早,,,R,,R,,R,,,,R,,,,
考早,,,R,,R,,R,,,,R,,,,
考早,,,R,,R,,R,,,,R,,,,
考早,,,R,,R,,R,,,,R,,,,
