序号,参试材料编号,干旱处理时期,鉴定时间,抗旱指数,抗旱指数评价的抗旱性,平均隶属函数值/灰色关联系数,隶属函数值/关联系数评价的抗旱性,抗旱性综合评价,抗旱系数,产量干旱,产量对照,株高干旱cm,株高对照cm,分枝数干旱,分枝数对照,主花序长干旱cm,主花序长对照cm,主花序有效角果数干旱,主花序有效角果数对照,全株有效角果数干旱,全株有效角果数对照,主茎角果密度个/cm干旱,主茎角果密度个/cm对照,角粒数干旱,角粒数对照,千粒重干旱g,千粒重对照g,主根长处理cm,主根长对照cm,侧根数处理,侧根数对照,植株总鲜重处理g,植株总鲜重对照g,根鲜重处理g,根鲜重对照g,地上部分鲜重处理g,地上部分鲜重对照g,根冠比处理,根冠比对照,备注
1,07116-2,"全生育降雨量150mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,1.93,HR,0.37 ,R,HR,1.37 ,17.66 ,12.88 ,91.40 ,106.20 ,5.20 ,4.40 ,50.00 ,60.00 ,43.60 ,49.80 ,304.60 ,194.40 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
2,07064-1,"全生育降雨量151mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.36,HS,0.13 ,HS,HS,0.58 ,7.86 ,13.56 ,75.40 ,80.80 ,4.20 ,4.40 ,37.20 ,51.00 ,35.00 ,40.00 ,115.60 ,203.80 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
3,07015-1,"全生育降雨量152mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,1.36,R,0.33 ,MR,R,1.39 ,12.30 ,8.88 ,108.80 ,112.60 ,4.80 ,4.60 ,56.40 ,63.80 ,46.60 ,58.00 ,173.20 ,175.80 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
4,072X-70,"全生育降雨量153mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,1.16,R,0.20 ,HS,R,1.36 ,10.70 ,7.86 ,89.40 ,128.20 ,4.60 ,3.60 ,52.40 ,71.20 ,45.60 ,76.40 ,255.20 ,158.80 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
5,07604-2,"全生育降雨量154mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.11,HS,0.15 ,HS,HS,0.39 ,3.60 ,9.24 ,81.60 ,103.20 ,4.00 ,4.00 ,47.80 ,59.00 ,25.00 ,52.40 ,163.20 ,178.20 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
6,07599-1,"全生育降雨量155mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.32,HS,0.19 ,HS,HS,0.48 ,8.24 ,17.04 ,97.60 ,117.60 ,4.80 ,6.20 ,47.00 ,50.60 ,42.00 ,57.00 ,181.40 ,280.80 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
7,07597-3,"全生育降雨量156mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.47,S,0.17 ,HS,S,0.63 ,9.32 ,14.88 ,83.40 ,108.60 ,4.80 ,5.40 ,47.00 ,50.40 ,42.60 ,50.20 ,120.80 ,156.00 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
8,07762-1-1,"全生育降雨量157mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.29,HS,0.18 ,HS,HS,0.56 ,6.58 ,11.72 ,93.20 ,99.80 ,3.60 ,5.20 ,49.00 ,54.20 ,44.20 ,46.40 ,95.80 ,184.80 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
9,07636-1 8/2,"全生育降雨量158mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.44,S,0.24 ,S,S,0.52 ,10.64 ,20.42 ,112.00 ,119.80 ,6.00 ,6.40 ,51.60 ,60.00 ,49.40 ,57.60 ,135.60 ,311.00 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
10,07659-1,"全生育降雨量159mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.82,MR,0.27 ,S,MR,1.06 ,9.70 ,9.12 ,98.80 ,104.20 ,6.60 ,5.40 ,41.60 ,40.20 ,51.00 ,48.40 ,123.40 ,114.20 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
11,07721-2-2,"全生育降雨量160mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.84,MR,0.27 ,S,MR,0.89 ,11.88 ,13.36 ,105.00 ,134.60 ,6.40 ,6.00 ,51.60 ,59.60 ,50.80 ,63.60 ,241.80 ,225.60 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
12,07359-3,"全生育降雨量161mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.89,MR,0.19 ,HS,R,0.75 ,14.92 ,19.84 ,101.80 ,122.60 ,5.20 ,5.60 ,51.20 ,58.20 ,42.00 ,61.60 ,202.60 ,284.20 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
13,07469-2,"全生育降雨量162mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.79,MR,0.22 ,HS,R,0.80 ,12.36 ,15.40 ,106.40 ,132.60 ,5.20 ,6.40 ,51.40 ,56.00 ,54.80 ,63.00 ,135.40 ,162.60 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
14,07496-3,"全生育降雨量163mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,1.43,R,0.36 ,MR,R,1.47 ,12.26 ,8.36 ,91.00 ,102.80 ,5.40 ,4.80 ,48.80 ,47.80 ,69.60 ,64.20 ,251.20 ,233.00 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
15,07662-3  8/2,"全生育降雨量164mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,1.16,R,0.22 ,HS,R,1.11 ,13.06 ,11.72 ,94.60 ,105.40 ,5.20 ,5.00 ,42.60 ,45.40 ,46.00 ,54.00 ,207.00 ,213.00 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
16,07671-2,"全生育降雨量165mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.49,S,0.26 ,S,S,0.75 ,8.24 ,11.04 ,98.80 ,111.00 ,5.60 ,4.80 ,46.20 ,57.40 ,44.80 ,42.00 ,156.80 ,121.60 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
17,07682-2  11,"全生育降雨量166mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.78,MR,0.21 ,HS,R,1.00 ,9.78 ,9.78 ,99.67 ,126.67 ,4.67 ,4.00 ,48.33 ,65.33 ,40.67 ,64.67 ,134.67 ,127.33 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
18,07M798,"全生育降雨量167mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.4,S,0.13 ,HS,S,0.50 ,10.06 ,20.12 ,84.80 ,114.00 ,5.20 ,5.00 ,47.80 ,58.60 ,32.40 ,57.00 ,185.80 ,235.20 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
19,07M012,"全生育降雨量168mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.78,MR,0.25 ,S,S,0.74 ,13.20 ,17.86 ,108.00 ,131.67 ,7.33 ,6.00 ,56.00 ,64.00 ,48.67 ,50.33 ,179.33 ,227.33 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
20,07M797,"全生育降雨量169mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,1.13,R,0.32 ,MR,R,0.95 ,14.84 ,15.58 ,106.33 ,125.33 ,6.00 ,5.33 ,46.67 ,50.67 ,51.00 ,53.33 ,225.33 ,183.00 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
21,07515-1,"全生育降雨量170mm,大田鉴定，全生育期不灌溉",2009.9-2010.4,0.42,S,0.17 ,HS,S,0.60 ,8.66 ,14.36 ,77.00 ,83.00 ,4.67 ,4.00 ,36.00 ,49.67 ,27.67 ,38.33 ,176.00 ,199.67 ,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
